BorrName,BorrID,LoanStatus,GrossApproval,SBAGuarantee,PctOfGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,DebtCoverage,Leverage,COFiscalYear,COAmount,PrinBalanceCollected,PctOfPrinColl,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,JobsSupported
"Superior Power Solutions, Inc.",1,CHGOFF,250000,125000,0.5,4.75,38,2014,4/3/14,4/8/14,5,5/22/17,1,1,7,2018,211515,38485,0.154,3/28/18,-310,-10,238210,37
"MAXI'S SHUTTLE, LLC",2,CHGOFF,50000,25000,0.5,7.05,64,2016,4/29/16,5/1/16,2,8/3/21,1,1,7,2018,43785,6215,0.124,3/26/18,1226,41,485310,2
PJ BRADFORD RESTAURANT GROUP L,3,CHGOFF,55200,27600,0.5,7.25,72,2016,4/1/16,4/1/16,0,3/1/22,1,2.25,4,2018,50694,4506,0.082,3/23/18,1439,48,722513,24
"Infinity Woodworks, Corp.",4,CHGOFF,35000,17500,0.5,5.4,50,2015,3/12/15,3/12/15,0,4/20/19,1,2.25,4,2018,35009,-9,0,3/20/18,396,13,321999,8
The White Dress Bridal Inc,5,CHGOFF,25000,12500,0.5,7.15,8,2012,10/7/11,10/7/11,0,6/3/12,1,1.5,5.75,2018,15043,9957,0.398,3/20/18,-2116,-71,448190,14
"E S TEXTILE CARE, LLC",6,CHGOFF,100000,50000,0.5,7.65,63,2016,2/3/16,4/1/16,58,6/4/21,1,1.5,5.75,2018,62702,37298,0.373,3/19/18,1173,39,561740,0
"MARK L FORNARIS, PA.",7,CHGOFF,40000,20000,0.5,8.35,1,2011,2/23/11,2/23/11,0,3/25/11,1,2,5.3,2018,17582,22418,0.56,3/19/18,-2551,-85,541110,7
New Vision Construction & Desi,8,CHGOFF,40000,20000,0.5,9,37,2014,1/30/14,2/1/14,2,2/15/17,1,2.25,4,2018,37642,2358,0.059,3/16/18,-394,-13,236118,2
"BIAMAX, INC.",9,CHGOFF,85000,42500,0.5,5.4,46,2015,10/28/14,10/28/14,0,8/8/18,1,2.25,4,2018,82974,2026,0.024,3/15/18,146,5,443141,3
"C. Everett Enterprises, Inc.",10,CHGOFF,150000,127500,0.85,6,98,2016,11/25/15,1/1/16,37,1/19/24,1,2.25,4,2018,132206,17794,0.119,3/15/18,2136,71,523930,3
"MC Signs, LLC",11,CHGOFF,150000,127500,0.85,6,86,2014,8/27/14,8/27/14,0,9/19/21,1,1,7,2018,120477,29523,0.197,3/15/18,1284,43,339950,4
Power Tech Electronics Inc.,12,CHGOFF,250000,125000,0.5,5.95,78,2010,4/28/10,7/1/10,64,11/26/16,1,1.5,5.75,2018,168670,81330,0.325,3/13/18,-472,-16,423860,16
Songchai LLC,13,CHGOFF,150000,127500,0.85,6,79,2014,7/22/14,7/22/14,0,1/16/21,1,1,7,2018,122497,27503,0.183,3/13/18,1040,35,812199,2
"Amerykanskie Czesci, Inc.",14,CHGOFF,20000,10000,0.5,7.9,31,2013,6/27/13,7/1/13,4,1/17/16,1,1,7,2018,16687,3313,0.166,3/12/18,-785,-26,423120,2
"COLE CONSTRUCTION MANAGEMENT,",15,CHGOFF,20000,10000,0.5,7.8,69,2016,8/23/16,8/23/16,0,4/24/22,1,2.25,4,2018,18931,1069,0.053,3/8/18,1508,50,238910,1
J & M Painting & Reconstructio,16,CHGOFF,100000,50000,0.5,5.95,47,2015,12/30/14,1/1/15,2,11/11/18,1,2.25,4,2018,88374,11626,0.116,3/7/18,249,8,238320,0
Personal Pediatric Care PLLC,17,CHGOFF,30000,15000,0.5,6,44,2014,9/24/14,9/24/14,0,5/6/18,1,2.25,4,2018,29850,150,0.005,3/7/18,60,2,621111,1
"Smart Tell, LLC",18,CHGOFF,80000,68000,0.85,6,103,2014,8/13/14,8/13/14,0,1/28/23,1,2.25,4,2018,73963,6037,0.075,3/1/18,1794,60,811213,1
Practitioner Contracting Servi,19,CHGOFF,200000,100000,0.5,3,51,2015,1/30/15,2/1/15,2,4/11/19,1,2.25,4,2018,199980,20,0,2/27/18,408,14,541110,2
"Smartklean, Corp.",20,CHGOFF,45000,22500,0.5,8.5,15,2012,2/16/12,2/16/12,0,5/11/13,1,1.5,5.75,2018,29420,15580,0.346,2/27/18,-1753,-58,454111,0
"OPTION 1 RESTORATION, INC.",21,CHGOFF,150000,75000,0.5,5.25,67,2016,4/29/16,6/1/16,33,12/2/21,1,1.25,6.25,2018,119984,30016,0.2,2/23/18,1378,46,562910,4
"Inkology, Inc.",22,CHGOFF,40000,20000,0.5,7.92,1,2013,12/18/12,12/18/12,0,1/17/13,1,3,3,2018,3199,36801,0.92,2/23/18,-1863,-62,423920,6
Oriental Packing Company,23,CHGOFF,350000,262500,0.75,6.25,112,2016,2/10/16,2/10/16,0,4/23/25,1,2.25,4,2018,339635,10365,0.03,2/23/18,2616,87,424490,10
The White Dress Bridal Inc,24,CHGOFF,25400,12700,0.5,7.15,11,2012,10/7/11,10/7/11,0,9/1/12,1,2.75,4.25,2018,5420,19980,0.787,2/22/18,-2000,-67,448190,14
"Dr Auto Care, LLC",25,CHGOFF,50000,25000,0.5,6.5,41,2010,8/9/10,8/9/10,0,12/21/13,1,2,5.3,2018,24916,25084,0.502,2/22/18,-1524,-51,811198,4
TELECOMMUNICATION CONEXXIONS O,26,CHGOFF,15000,12750,0.85,7.75,38,2011,1/20/11,1/20/11,0,3/5/14,1,2,5.3,2018,6465,8535,0.569,2/21/18,-1449,-48,811213,30
Messano & Associates Inc,27,CHGOFF,150000,127500,0.85,6,94,2015,5/21/15,8/1/15,72,4/21/23,1,1,7,2018,125825,24175,0.161,2/20/18,1886,63,812191,2
"B & M Equipment, LLC",28,CHGOFF,150000,75000,0.5,5.95,58,2016,11/12/15,11/12/15,0,8/17/20,1,2.25,4,2018,149802,198,0.001,2/14/18,915,31,238990,40
TROPICAL BOYZ FRESH COCONUTS C,29,CHGOFF,50000,25000,0.5,6.5,17,2016,5/24/16,6/1/16,8,10/24/17,1,1.25,6.25,2018,38782,11218,0.224,2/13/18,-112,-4,424490,8
Toledo Transport Corporation,30,CHGOFF,150000,127500,0.85,6.25,109,2017,10/3/16,10/3/16,0,9/16/25,1,2.25,4,2018,142703,7297,0.049,2/13/18,2772,92,484121,2
"Southcorp Enterprises, Inc.",31,CHGOFF,1465500,1099125,0.75,5.85,85,2015,11/12/14,2/1/15,81,1/25/22,1,1,7,2018,1277253,188247,0.128,2/12/18,1443,48,453998,88
"CTF 3, LLC",32,CHGOFF,477300,357975,0.75,6.25,105,2016,6/8/16,9/1/16,85,4/17/25,1,2.75,4.25,2018,126482,350818,0.735,2/5/18,2628,88,722511,60
Equusunlimited.com.inc,33,CHGOFF,200400,150300,0.75,6,91,2015,6/10/15,7/1/15,21,12/21/22,1,1,7,2018,171028,29372,0.147,2/5/18,1780,59,453998,2
