BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuarantee,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysIN2TB4CO,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
"MetalStamp, Inc.",24219 NORTHERN ILLINOIS DRIVE,CHANNAHON,IL,60410,6388,EXEMPT,1730000,1297500,5.75,120,2010,7/14/10,7/1/10,-13,5/9/20,0,,,,,,"3,600",120,332116,Metal Stamping,50,OTH 7A,Guaranty,First American Bank,700 Busse Rd,ELK GROVE VILLAGE,IL,60007
Phillip M. Palella D.D.S. P.C.,2033 W Division St,CHICAGO,IL,60622,10922,PIF,176600,88300,7,84,2010,7/14/10,7/1/10,-13,5/25/17,0,,,,,,"2,520",84,621210,Offices of Dentists,23,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"PINOY TURO-TURO, INC",1800 FAXON DR,MONTGOMERY,IL,60538,98,CHGOFF,30500,15250,9,41,2010,7/12/10,7/1/10,-11,11/12/13,1,2014,19740,10760,3/11/14,"1,349",-119,-4,722110,Full-Service Restaurants,10,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"TURNER BAILEY, INC.",410 BROADWAY,SOUTH ROXANA,IL,62037,164,CHGOFF,800000,600000,6,67,2010,7/12/10,7/1/10,-11,1/1/16,1,2015,313222,486778,1/13/15,"1,657",353,12,562910,Remediation Services,45,OTH 7A,Guaranty,Providence Bank,3855 Forum Blvd,COLUMBIA,MO,65203
KB TRUCK REPAIR INC.,3641 HIGHWAY 111,PONTOON BEACH,IL,62040,8691,PIF,505000,378750,6,120,2010,3/11/10,3/11/10,-10,1/18/20,0,,,,,,"3,600",120,811310,Commercial and Industrial Machinery and Equipment (except Automotive a,18,OTH 7A,Guaranty,United Community Bank,301 N Main St,CHATHAM,IL,62629
VP Auto Care,101 Johnson St,Collinsville,IL,62234,8764,PIF,49000,24500,6.5,180,2010,3/11/10,3/3/10,-8,12/14/24,0,,,,,,"5,400",180,811111,General Automotive Repair,4,SBA EXPRES,FA$TRK (Small Loan Express),"UMB Bank, National Association",1010 Grand Blvd,KANSAS CITY,MO,64106
Laitek Inc.,18101 Martin Avenue,HOMEWOOD,IL,60430,10937,PIF,250000,125000,4.9,84,2010,6/24/10,6/16/10,-8,5/10/17,0,,,,,,"2,520",84,541511,Custom Computer Programming Services,1,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"ROBINSON-HILL CH, INC.",7030 SOUTH CONSTANCE AVE,CHICAGO,IL,60649,12168,PIF,50000,25000,6.25,60,2010,3/11/10,3/3/10,-8,2/5/15,0,,,,,,"1,800",60,541618,Other Management Consulting Services,35,SBA EXPRES,FA$TRK (Small Loan Express),"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,2903
"Environmental Futures, Inc.",2210 W Irving Park Rd,CHICAGO,IL,60618,10939,PIF,50000,25000,7.25,84,2010,6/24/10,6/17/10,-7,5/11/17,0,,,,,,"2,520",84,423490,Other Professional Equipment and Supplies Merchant Wholesalers,0,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
"CPI of the Midwest, Inc.",127 31st Avenue,ROCK ISLAND,IL,61201,9639,PIF,50000,25000,7.5,12,2011,10/14/10,10/11/10,-3,10/6/11,0,,,,,,360,12,236220,Commercial and Institutional Building Construction,10,SBA EXPRES,FA$TRK (Small Loan Express),Northwest Bank & Trust Company,100 E Kimberly Rd,DAVENPORT,IA,52806
Best Windows Inc,1112 Cleveland Avenue,LA GRANGE PARK,IL,60526,11059,PIF,125000,62500,6.89,84,2010,3/11/10,3/8/10,-3,1/30/17,0,,,,,,"2,520",84,238150,Glass and Glazing Contractors,2,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
R Martin Enterprises Inc.,2011 Broadsmore Dr,ALGONQUIN,IL,60102,11060,PIF,25000,12500,8.35,84,2010,3/11/10,3/8/10,-3,1/30/17,0,,,,,,"2,520",84,531210,Offices of Real Estate Agents and Brokers,5,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
